NaN,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
3.174,3.886e-14,1.274e-16,3.359e-17,7.058e-18,3.173e-19,9.622e-21,5.354e-24,2.669e-26,2.05e-31,1.715e-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.267e-36,0,2.341e-14,2.735e-17,3.923e-16,0,8.638e-17,0,1.493e-17,2.506e-18,2.331e-18,9.195e-21,0,0,0,0,0
3.423,4.053e-14,1.374e-16,4.059e-17,1.083e-17,5.711e-19,2.146e-20,1.755e-23,1.37e-25,1.749e-30,2.286e-33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.188e-36,0,2.473e-14,2.883e-17,3.982e-16,0,9.384e-17,0,1.724e-17,3.055e-18,2.945e-18,1.44e-20,0,0,0,0,0
3.685,4.218e-14,1.481e-16,4.813e-17,1.591e-17,9.713e-19,4.433e-20,5.186e-23,6.124e-25,1.279e-29,2.474e-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.116e-36,0,2.602e-14,3.016e-17,4.012e-16,0,1.004e-16,0,1.948e-17,3.631e-18,3.622e-18,2.149e-20,0,0,0,0,0
3.96,4.377e-14,1.595e-16,5.604e-17,2.247e-17,1.57e-18,8.551e-20,1.396e-22,2.409e-24,8.14e-29,2.201e-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.048e-36,0,2.726e-14,3.134e-17,4.018e-16,0,1.061e-16,0,2.16e-17,4.216e-18,4.351e-18,3.076e-20,0,0,0,0,0
4.248,4.53e-14,1.714e-16,6.413e-17,3.067e-17,2.425e-18,1.552e-19,3.458e-22,8.435e-24,4.567e-28,1.635e-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.872e-37,0,2.844e-14,3.235e-17,4.004e-16,0,1.109e-16,0,2.356e-17,4.798e-18,5.118e-18,4.241e-20,0,0,0,0,0
4.55,4.675e-14,1.839e-16,7.222e-17,4.06e-17,3.597e-18,2.668e-19,7.949e-22,2.657e-23,2.284e-27,1.028e-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.317e-37,0,2.954e-14,3.32e-17,3.974e-16,0,1.148e-16,0,2.534e-17,5.365e-18,5.91e-18,5.656e-20,0,0,0,0,0
4.866,4.813e-14,1.969e-16,8.016e-17,5.233e-17,5.15e-18,4.371e-19,1.71e-21,7.601e-23,1.026e-26,5.549e-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.817e-37,0,3.056e-14,3.39e-17,3.933e-16,0,1.179e-16,0,2.693e-17,5.907e-18,6.715e-18,7.325e-20,0,0,0,0,0
5.195,4.942e-14,2.103e-16,8.783e-17,6.59e-17,7.144e-18,6.865e-19,3.468e-21,1.994e-22,4.17e-26,2.605e-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.369e-37,0,3.15e-14,3.448e-17,3.885e-16,0,1.203e-16,0,2.833e-17,6.419e-18,7.523e-18,9.246e-20,0,0,0,0,0
5.537,5.065e-14,2.244e-16,9.529e-17,8.144e-17,9.652e-18,1.041e-18,6.803e-21,5.044e-22,1.865e-25,1.925e-27,4.841e-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.961e-37,0,3.239e-14,3.495e-17,3.828e-16,0,1.223e-16,0,2.961e-17,6.909e-18,8.339e-18,1.143e-19,0,0,0,0,0
5.893,5.177e-14,2.386e-16,1.022e-16,9.865e-17,1.27e-17,1.523e-18,1.246e-20,1.132e-21,6.375e-25,7.729e-27,3.258e-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.603e-37,0,3.318e-14,3.53e-17,3.772e-16,0,1.236e-16,0,3.066e-17,7.348e-18,9.128e-18,1.382e-19,0,0,0,0,0
6.262,5.282e-14,2.533e-16,1.086e-16,1.176e-16,1.636e-17,2.162e-18,2.191e-20,2.387e-21,2.009e-24,2.829e-26,1.919e-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.283e-37,0,3.39e-14,3.556e-17,3.715e-16,0,1.246e-16,0,3.156e-17,7.75e-18,9.899e-18,1.643e-19,0,0,0,0,0
6.644,5.38e-14,2.684e-16,1.145e-16,1.384e-16,2.067e-17,2.991e-18,3.712e-20,4.755e-21,5.866e-24,9.51e-26,9.992e-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.998e-37,0,3.455e-14,3.575e-17,3.659e-16,0,1.252e-16,0,3.232e-17,8.114e-18,1.065e-17,1.924e-19,0,0,0,0,0
7.04,5.47e-14,2.839e-16,1.199e-16,1.607e-16,2.567e-17,4.042e-18,6.08e-20,8.998e-21,1.593e-23,2.955e-25,4.645e-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.743e-37,0,3.515e-14,3.587e-17,3.604e-16,0,1.255e-16,0,3.296e-17,8.444e-18,1.137e-17,2.222e-19,0,0,0,0,0
7.45,5.555e-14,2.998e-16,1.249e-16,1.847e-16,3.141e-17,5.351e-18,9.663e-20,1.626e-20,4.046e-23,8.538e-25,1.944e-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.516e-37,0,3.569e-14,3.595e-17,3.551e-16,0,1.257e-16,0,3.35e-17,8.74e-18,1.207e-17,2.536e-19,0,0,0,0,0
