
 
C1    N2    Elastic                                             
E/N (Td)	Rate coefficient (m3/s)
80.74	0.3196E-14
82.21	0.3226E-14
83.69	0.3254E-14
85.19	0.3281E-14
86.70	0.3306E-14
88.22	0.3329E-14
89.76	0.3351E-14
91.31	0.3370E-14
92.87	0.3388E-14
94.45	0.3405E-14
96.04	0.3420E-14
97.64	0.3434E-14
99.26	0.3445E-14
100.9	0.3456E-14
102.5	0.3464E-14
104.2	0.3472E-14
105.9	0.3478E-14
107.6	0.3482E-14
109.2	0.3486E-14
111.0	0.3488E-14
112.7	0.3488E-14
114.4	0.3488E-14
116.2	0.3487E-14
117.9	0.3484E-14
119.7	0.3489E-14
121.5	0.3484E-14
123.3	0.3478E-14
125.1	0.3472E-14
127.0	0.3465E-14
128.8	0.3456E-14
130.7	0.3448E-14
132.5	0.3438E-14
134.4	0.3428E-14
136.3	0.3417E-14
138.2	0.3406E-14
140.2	0.3394E-14
142.1	0.3381E-14
144.1	0.3368E-14
146.0	0.3343E-14
148.0	0.3330E-14
150.0	0.3316E-14
 
 
C3    N2    Excitation    0.29 eV                               
E/N (Td)	Rate coefficient (m3/s)
1.000	0.2269E-17
1.007	0.2293E-17
1.027	0.2366E-17
1.060	0.2490E-17
1.107	0.2668E-17
1.168	0.2905E-17
1.242	0.3211E-17
1.329	0.3603E-17
1.430	0.4108E-17
1.544	0.4771E-17
1.671	0.5658E-17
1.812	0.6861E-17
1.966	0.8495E-17
2.134	0.1067E-16
2.315	0.1356E-16
2.510	0.1727E-16
2.718	0.2184E-16
2.940	0.2730E-16
3.174	0.3359E-16
3.423	0.4059E-16
3.685	0.4813E-16
3.960	0.5604E-16
4.248	0.6413E-16
4.550	0.7222E-16
4.866	0.8016E-16
5.195	0.8783E-16
5.537	0.9529E-16
5.893	0.1022E-15
6.262	0.1086E-15
6.644	0.1145E-15
7.040	0.1199E-15
7.450	0.1249E-15
7.872	0.1294E-15
8.309	0.1334E-15
8.758	0.1371E-15
9.221	0.1404E-15
9.698	0.1432E-15
10.19	0.1458E-15
10.69	0.1481E-15
11.21	0.1502E-15
11.74	0.1520E-15
12.28	0.1536E-15
12.84	0.1550E-15
13.41	0.1563E-15
13.99	0.1574E-15
14.59	0.1582E-15
15.20	0.1590E-15
15.83	0.1597E-15
16.46	0.1604E-15
17.11	0.1608E-15
17.78	0.1612E-15
18.46	0.1615E-15
19.15	0.1616E-15
19.85	0.1618E-15
20.57	0.1619E-15
21.30	0.1619E-15
22.05	0.1619E-15
22.81	0.1618E-15
23.58	0.1617E-15
24.36	0.1617E-15
25.16	0.1615E-15
25.97	0.1613E-15
26.80	0.1610E-15
27.64	0.1608E-15
28.49	0.1605E-15
29.36	0.1602E-15
30.23	0.1599E-15
31.13	0.1593E-15
32.03	0.1590E-15
32.95	0.1586E-15
33.89	0.1583E-15
34.83	0.1580E-15
35.79	0.1576E-15
36.77	0.1573E-15
37.75	0.1570E-15
38.75	0.1567E-15
39.77	0.1567E-15
40.79	0.1565E-15
41.83	0.1563E-15
42.89	0.1561E-15
43.95	0.1560E-15
45.03	0.1559E-15
46.13	0.1558E-15
47.23	0.1558E-15
48.36	0.1559E-15
49.49	0.1559E-15
50.64	0.1561E-15
51.80	0.1564E-15
