
 
C1    N2    Elastic                                             
E/N (Td)	Rate coefficient (m3/s)
41.83	0.1939E-15
42.89	0.2070E-15
43.95	0.2205E-15
45.03	0.2345E-15
46.13	0.2488E-15
47.23	0.2636E-15
48.36	0.2786E-15
49.49	0.2961E-15
50.64	0.3118E-15
51.80	0.3279E-15
52.97	0.3442E-15
54.16	0.3607E-15
55.36	0.3773E-15
56.58	0.3941E-15
57.81	0.4111E-15
59.05	0.4280E-15
60.30	0.4451E-15
61.57	0.4621E-15
62.85	0.4802E-15
64.15	0.4971E-15
65.46	0.5138E-15
66.78	0.5304E-15
68.11	0.5468E-15
69.46	0.5630E-15
70.83	0.5789E-15
72.20	0.5946E-15
73.59	0.6099E-15
74.99	0.6248E-15
76.41	0.6394E-15
77.84	0.6502E-15
79.28	0.6639E-15
80.74	0.6773E-15
82.21	0.6902E-15
83.69	0.7026E-15
85.19	0.7146E-15
86.70	0.7260E-15
88.22	0.7370E-15
89.76	0.7475E-15
91.31	0.7574E-15
92.87	0.7669E-15
94.45	0.7759E-15
96.04	0.7855E-15
97.64	0.7935E-15
99.26	0.8009E-15
100.9	0.8079E-15
102.5	0.8144E-15
104.2	0.8204E-15
105.9	0.8259E-15
107.6	0.8310E-15
109.2	0.8357E-15
111.0	0.8399E-15
112.7	0.8437E-15
114.4	0.8471E-15
116.2	0.8501E-15
117.9	0.8527E-15
119.7	0.8556E-15
121.5	0.8575E-15
123.3	0.8590E-15
125.1	0.8603E-15
127.0	0.8612E-15
128.8	0.8618E-15
130.7	0.8621E-15
132.5	0.8621E-15
134.4	0.8619E-15
136.3	0.8614E-15
138.2	0.8607E-15
140.2	0.8598E-15
142.1	0.8587E-15
144.1	0.8573E-15
146.0	0.8515E-15
148.0	0.8499E-15
150.0	0.8481E-15
 
 
C9    N2    Excitation    1.76 eV                               
E/N (Td)	Rate coefficient (m3/s)
1.000	0.000
1.007	0.000
1.027	0.000
1.060	0.000
1.107	0.000
1.168	0.000
1.242	0.000
1.329	0.000
1.430	0.000
1.544	0.000
1.671	0.000
1.812	0.000
1.966	0.000
2.134	0.2782E-36
2.315	0.6194E-35
2.510	0.1124E-33
2.718	0.1665E-32
2.940	0.2026E-31
3.174	0.2050E-30
3.423	0.1749E-29
3.685	0.1279E-28
3.960	0.8140E-28
4.248	0.4567E-27
4.550	0.2284E-26
4.866	0.1026E-25
5.195	0.4170E-25
5.537	0.1865E-24
5.893	0.6375E-24
6.262	0.2009E-23
6.644	0.5866E-23
7.040	0.1593E-22
7.450	0.4046E-22
7.872	0.9652E-22
8.309	0.2173E-21
8.758	0.4637E-21
9.221	0.9420E-21
9.698	0.1875E-20
10.19	0.3478E-20
10.69	0.6210E-20
11.21	0.1070E-19
11.74	0.1786E-19
12.28	0.2939E-19
12.84	0.4735E-19
13.41	0.7674E-19
13.99	0.1187E-18
14.59	0.1822E-18
15.20	0.2570E-18
15.83	0.3565E-18
16.46	0.5042E-18
17.11	0.6758E-18
17.78	0.8939E-18
18.46	0.1168E-17
19.15	0.1507E-17
19.85	0.1937E-17
20.57	0.2444E-17
21.30	0.3054E-17
22.05	0.3781E-17
22.81	0.4640E-17
23.58	0.5647E-17
24.36	0.6864E-17
25.16	0.8220E-17
25.97	0.9775E-17
26.80	0.1155E-16
27.64	0.1356E-16
28.49	0.1582E-16
29.36	0.1835E-16
30.23	0.2117E-16
31.13	0.2440E-16
32.03	0.2785E-16
32.95	0.3165E-16
33.89	0.3581E-16
34.83	0.4033E-16
35.79	0.4524E-16
36.77	0.5055E-16
37.75	0.5627E-16
38.75	0.6240E-16
39.77	0.6837E-16
40.79	0.7530E-16
41.83	0.8267E-16
42.89	0.9046E-16
43.95	0.9870E-16
45.03	0.1074E-15
46.13	0.1165E-15
47.23	0.1260E-15
48.36	0.1359E-15
49.49	0.1480E-15
50.64	0.1588E-15
51.80	0.1699E-15
52.97	0.1814E-15
54.16	0.1933E-15
55.36	0.2054E-15
56.58	0.2178E-15
57.81	0.2305E-15
59.05	0.2434E-15
60.30	0.2565E-15
61.57	0.2697E-15
62.85	0.2845E-15
64.15	0.2980E-15
65.46	0.3116E-15
66.78	0.3252E-15
68.11	0.3388E-15
69.46	0.3524E-15
70.83	0.3660E-15
72.20	0.3794E-15
73.59	0.3927E-15
74.99	0.4059E-15
76.41	0.4189E-15
77.84	0.4291E-15
79.28	0.4416E-15
80.74	0.4539E-15
82.21	0.4660E-15
83.69	0.4777E-15
85.19	0.4891E-15
86.70	0.5003E-15
88.22	0.5111E-15
89.76	0.5215E-15
91.31	0.5316E-15
92.87	0.5413E-15
94.45	0.5506E-15
96.04	0.5588E-15
97.64	0.5674E-15
99.26	0.5757E-15
100.9	0.5835E-15
102.5	0.5910E-15
104.2	0.5980E-15
105.9	0.6047E-15
107.6	0.6111E-15
109.2	0.6170E-15
111.0	0.6226E-15
112.7	0.6279E-15
114.4	0.6328E-15
116.2	0.6373E-15
117.9	0.6415E-15
119.7	0.6449E-15
121.5	0.6485E-15
123.3	0.6517E-15
125.1	0.6547E-15
127.0	0.6574E-15
128.8	0.6598E-15
130.7	0.6619E-15
132.5	0.6638E-15
134.4	0.6654E-15
136.3	0.6667E-15
138.2	0.6679E-15
140.2	0.6688E-15
142.1	0.6695E-15
144.1	0.6700E-15
146.0	0.6681E-15
148.0	0.6683E-15
150.0	0.6682E-15
 
 
C10   N2    Excitation    2.06 eV                               
E/N (Td)	Rate coefficient (m3/s)
1.000	0.000
1.007	0.000
1.027	0.000
1.060	0.000
1.107	0.000
1.168	0.000
1.242	0.000
1.329	0.000
1.430	0.000
1.544	0.000
1.671	0.000
1.812	0.000
1.966	0.000
2.134	0.1258E-40
2.315	0.5416E-39
2.510	0.1839E-37
2.718	0.4907E-36
2.940	0.1030E-34
3.174	0.1715E-33
3.423	0.2286E-32
3.685	0.2474E-31
3.960	0.2201E-30
4.248	0.1635E-29
4.550	0.1028E-28
4.866	0.5549E-28
5.195	0.2605E-27
5.537	0.1925E-26
5.893	0.7729E-26
6.262	0.2829E-25
6.644	0.9510E-25
7.040	0.2955E-24
7.450	0.8538E-24
7.872	0.2306E-23
8.309	0.5852E-23
8.758	0.1401E-22
9.221	0.3181E-22
9.698	0.7102E-22
10.19	0.1458E-21
10.69	0.2871E-21
11.21	0.5435E-21
11.74	0.9924E-21
12.28	0.1791E-20
12.84	0.3163E-20
13.41	0.5673E-20
13.99	0.9582E-20
14.59	0.1606E-19
15.20	0.2416E-19
15.83	0.3565E-19
16.46	0.5433E-19
17.11	0.7705E-19
17.78	0.1076E-18
18.46	0.1481E-18
19.15	0.2011E-18
19.85	0.2734E-18
20.57	0.3614E-18
21.30	0.4721E-18
22.05	0.6102E-18
22.81	0.7805E-18
23.58	0.9886E-18
24.36	0.1257E-17
25.16	0.1562E-17
25.97	0.1924E-17
26.80	0.2352E-17
27.64	0.2854E-17
28.49	0.3438E-17
29.36	0.4113E-17
30.23	0.4889E-17
31.13	0.5820E-17
32.03	0.6829E-17
32.95	0.7967E-17
33.89	0.9245E-17
34.83	0.1067E-16
35.79	0.1226E-16
36.77	0.1401E-16
37.75	0.1594E-16
38.75	0.1806E-16
39.77	0.2025E-16
40.79	0.2274E-16
41.83	0.2545E-16
42.89	0.2836E-16
43.95	0.3150E-16
45.03	0.3485E-16
46.13	0.3843E-16
47.23	0.4224E-16
48.36	0.4628E-16
49.49	0.5121E-16
50.64	0.5573E-16
51.80	0.6047E-16
52.97	0.6543E-16
54.16	0.7059E-16
55.36	0.7596E-16
56.58	0.8153E-16
57.81	0.8727E-16
59.05	0.9319E-16
60.30	0.9928E-16
61.57	0.1055E-15
62.85	0.1124E-15
64.15	0.1189E-15
65.46	0.1255E-15
66.78	0.1322E-15
68.11	0.1389E-15
69.46	0.1457E-15
70.83	0.1526E-15
72.20	0.1594E-15
73.59	0.1663E-15
74.99	0.1732E-15
76.41	0.1800E-15
77.84	0.1856E-15
79.28	0.1923E-15
80.74	0.1989E-15
82.21	0.2055E-15
83.69	0.2119E-15
85.19	0.2183E-15
86.70	0.2246E-15
88.22	0.2307E-15
89.76	0.2366E-15
91.31	0.2425E-15
92.87	0.2482E-15
94.45	0.2537E-15
96.04	0.2586E-15
97.64	0.2638E-15
99.26	0.2688E-15
100.9	0.2736E-15
102.5	0.2783E-15
104.2	0.2827E-15
105.9	0.2870E-15
107.6	0.2912E-15
109.2	0.2951E-15
111.0	0.2988E-15
112.7	0.3024E-15
114.4	0.3058E-15
116.2	0.3090E-15
117.9	0.3120E-15
119.7	0.3146E-15
121.5	0.3173E-15
123.3	0.3199E-15
125.1	0.3222E-15
127.0	0.3244E-15
128.8	0.3265E-15
130.7	0.3284E-15
132.5	0.3302E-15
134.4	0.3318E-15
136.3	0.3333E-15
138.2	0.3346E-15
140.2	0.3358E-15
142.1	0.3369E-15
144.1	0.3379E-15
146.0	0.3380E-15
148.0	0.3387E-15
150.0	0.3394E-15
 
 
C11   N2    Excitation    2.35 eV                               
E/N (Td)	Rate coefficient (m3/s)
1.000	0.000
1.007	0.000
1.027	0.000
1.060	0.000
1.107	0.000
1.168	0.000
1.242	0.000
1.329	0.000
1.430	0.000
1.544	0.000
1.671	0.000
1.812	0.000
1.966	0.000
2.134	0.000
2.315	0.000
2.510	0.000
2.718	0.000
2.940	0.000
3.174	0.000
3.423	0.000
3.685	0.000
3.960	0.000
4.248	0.000
4.550	0.000
4.866	0.000
5.195	0.000
5.537	0.4841E-30
5.893	0.3258E-29
6.262	0.1919E-28
6.644	0.9992E-28
7.040	0.4645E-27
7.450	0.1944E-26
7.872	0.7388E-26
8.309	0.2567E-25
8.758	0.8211E-25
9.221	0.2433E-24
9.698	0.7173E-24
10.19	0.1849E-23
10.69	0.4493E-23
11.21	0.1034E-22
11.74	0.2265E-22
12.28	0.4899E-22
12.84	0.1026E-21
13.41	0.2215E-21
13.99	0.4375E-21
14.59	0.8530E-21
15.20	0.1427E-20
15.83	0.2328E-20
16.46	0.3998E-20
17.11	0.6183E-20
17.78	0.9371E-20
18.46	0.1394E-19
19.15	0.2036E-19
19.85	0.3003E-19
20.57	0.4234E-19
21.30	0.5883E-19
22.05	0.8060E-19
22.81	0.1090E-18
23.58	0.1455E-18
24.36	0.1957E-18
25.16	0.2548E-18
25.97	0.3283E-18
26.80	0.4188E-18
27.64	0.5292E-18
28.49	0.6626E-18
29.36	0.8224E-18
30.23	0.1012E-17
31.13	0.1254E-17
32.03	0.1518E-17
32.95	0.1826E-17
33.89	0.2181E-17
34.83	0.2588E-17
35.79	0.3051E-17
36.77	0.3577E-17
37.75	0.4169E-17
38.75	0.4832E-17
39.77	0.5549E-17
40.79	0.6365E-17
41.83	0.7265E-17
42.89	0.8253E-17
43.95	0.9333E-17
45.03	0.1051E-16
46.13	0.1178E-16
47.23	0.1316E-16
48.36	0.1464E-16
49.49	0.1645E-16
50.64	0.1815E-16
51.80	0.1997E-16
52.97	0.2188E-16
54.16	0.2390E-16
55.36	0.2603E-16
56.58	0.2825E-16
57.81	0.3058E-16
59.05	0.3299E-16
60.30	0.3550E-16
61.57	0.3810E-16
62.85	0.4096E-16
64.15	0.4372E-16
65.46	0.4654E-16
66.78	0.4942E-16
68.11	0.5235E-16
69.46	0.5534E-16
70.83	0.5836E-16
72.20	0.6142E-16
73.59	0.6450E-16
74.99	0.6760E-16
76.41	0.7071E-16
77.84	0.7330E-16
79.28	0.7640E-16
80.74	0.7949E-16
82.21	0.8256E-16
83.69	0.8560E-16
85.19	0.8862E-16
86.70	0.9159E-16
88.22	0.9453E-16
89.76	0.9742E-16
91.31	0.1003E-15
92.87	0.1030E-15
94.45	0.1058E-15
96.04	0.1082E-15
97.64	0.1108E-15
99.26	0.1134E-15
100.9	0.1158E-15
102.5	0.1182E-15
104.2	0.1205E-15
105.9	0.1227E-15
107.6	0.1249E-15
109.2	0.1269E-15
111.0	0.1289E-15
112.7	0.1308E-15
114.4	0.1327E-15
116.2	0.1344E-15
117.9	0.1361E-15
119.7	0.1377E-15
121.5	0.1392E-15
123.3	0.1406E-15
125.1	0.1420E-15
127.0	0.1433E-15
128.8	0.1445E-15
130.7	0.1456E-15
132.5	0.1467E-15
134.4	0.1477E-15
136.3	0.1487E-15
138.2	0.1495E-15
140.2	0.1504E-15
142.1	0.1511E-15
144.1	0.1518E-15
146.0	0.1522E-15
148.0	0.1528E-15
150.0	0.1533E-15
 
 
C12   N2    Excitation    6.17 eV                               
E/N (Td)	Rate coefficient (m3/s)
1.000	0.000
1.007	0.000
1.027	0.000
1.060	0.000
1.107	0.000
1.168	0.000
1.242	0.000
1.329	0.000
1.430	0.000
1.544	0.000
1.671	0.000
1.812	0.000
1.966	0.000
2.134	0.000
2.315	0.000
2.510	0.000
2.718	0.000
2.940	0.000
3.174	0.000
3.423	0.000
3.685	0.000
3.960	0.000
4.248	0.000
4.550	0.000
4.866	0.000
5.195	0.000
5.537	0.000
5.893	0.000
6.262	0.000
6.644	0.000
7.040	0.000
7.450	0.000
7.872	0.000
8.309	0.000
8.758	0.000
9.221	0.000
9.698	0.000
10.19	0.000
10.69	0.000
11.21	0.000
11.74	0.000
12.28	0.000
12.84	0.000
13.41	0.9316E-28
13.99	0.2732E-26
14.59	0.1058E-25
15.20	0.2693E-25
15.83	0.6511E-25
16.46	0.1637E-24
17.11	0.3561E-24
17.78	0.7442E-24
18.46	0.1497E-23
19.15	0.2909E-23
19.85	0.5730E-23
20.57	0.1039E-22
21.30	0.1832E-22
22.05	0.3145E-22
22.81	0.5263E-22
23.58	0.8604E-22
24.36	0.1408E-21
25.16	0.2199E-21
25.97	0.3369E-21
26.80	0.5067E-21
27.64	0.7490E-21
28.49	0.1089E-20
29.36	0.1560E-20
30.23	0.2202E-20
31.13	0.3134E-20
32.03	0.4300E-20
32.95	0.5827E-20
33.89	0.7807E-20
34.83	0.1034E-19
35.79	0.1356E-19
36.77	0.1761E-19
37.75	0.2265E-19
38.75	0.2886E-19
39.77	0.3664E-19
40.79	0.4589E-19
41.83	0.5704E-19
42.89	0.7037E-19
43.95	0.8621E-19
45.03	0.1049E-18
46.13	0.1268E-18
47.23	0.1523E-18
48.36	0.1819E-18
49.49	0.2199E-18
50.64	0.2595E-18
51.80	0.3046E-18
52.97	0.3557E-18
54.16	0.4133E-18
55.36	0.4780E-18
56.58	0.5502E-18
57.81	0.6307E-18
59.05	0.7199E-18
60.30	0.8183E-18
61.57	0.9264E-18
62.85	0.1053E-17
64.15	0.1183E-17
65.46	0.1324E-17
66.78	0.1477E-17
68.11	0.1642E-17
69.46	0.1820E-17
70.83	0.2011E-17
72.20	0.2215E-17
73.59	0.2433E-17
74.99	0.2664E-17
76.41	0.2910E-17
77.84	0.3150E-17
79.28	0.3423E-17
80.74	0.3710E-17
82.21	0.4012E-17
83.69	0.4329E-17
85.19	0.4661E-17
86.70	0.5007E-17
88.22	0.5367E-17
89.76	0.5743E-17
91.31	0.6132E-17
92.87	0.6536E-17
94.45	0.6954E-17
96.04	0.7382E-17
97.64	0.7827E-17
99.26	0.8286E-17
100.9	0.8758E-17
102.5	0.9242E-17
104.2	0.9740E-17
105.9	0.1025E-16
107.6	0.1077E-16
109.2	0.1131E-16
111.0	0.1185E-16
112.7	0.1241E-16
114.4	0.1298E-16
116.2	0.1355E-16
117.9	0.1414E-16
119.7	0.1475E-16
121.5	0.1536E-16
123.3	0.1598E-16
125.1	0.1661E-16
127.0	0.1724E-16
128.8	0.1789E-16
130.7	0.1854E-16
132.5	0.1920E-16
134.4	0.1987E-16
136.3	0.2055E-16
138.2	0.2123E-16
140.2	0.2193E-16
142.1	0.2263E-16
144.1	0.2333E-16
146.0	0.2403E-16
148.0	0.2475E-16
150.0	0.2548E-16
 
 
C13   N2    Excitation    7.00 eV                               
E/N (Td)	Rate coefficient (m3/s)
1.000	0.000
1.007	0.000
1.027	0.000
1.060	0.000
1.107	0.000
1.168	0.000
1.242	0.000
1.329	0.000
1.430	0.000
1.544	0.000
1.671	0.000
1.812	0.000
1.966	0.000
2.134	0.000
2.315	0.000
2.510	0.000
2.718	0.000
2.940	0.000
3.174	0.000
3.423	0.000
3.685	0.000
3.960	0.000
4.248	0.000
4.550	0.000
4.866	0.000
5.195	0.000
5.537	0.000
5.893	0.000
6.262	0.000
6.644	0.000
7.040	0.000
7.450	0.000
7.872	0.000
8.309	0.000
8.758	0.000
9.221	0.000
9.698	0.000
10.19	0.000
10.69	0.000
11.21	0.000
11.74	0.000
12.28	0.000
12.84	0.000
13.41	0.000
13.99	0.1847E-26
14.59	0.1525E-25
15.20	0.4036E-25
15.83	0.1013E-24
16.46	0.2666E-24
17.11	0.6005E-24
17.78	0.1297E-23
18.46	0.2692E-23
19.15	0.5386E-23
19.85	0.1091E-22
20.57	0.2033E-22
21.30	0.3678E-22
22.05	0.6468E-22
22.81	0.1108E-21
23.58	0.1852E-21
24.36	0.3096E-21
25.16	0.4936E-21
25.97	0.7711E-21
26.80	0.1182E-20
27.64	0.1779E-20
28.49	0.2632E-20
29.36	0.3833E-20
30.23	0.5497E-20
31.13	0.7946E-20
32.03	0.1106E-19
32.95	0.1521E-19
33.89	0.2066E-19
34.83	0.2774E-19
35.79	0.3684E-19
36.77	0.4842E-19
37.75	0.6301E-19
38.75	0.8123E-19
39.77	0.1043E-18
40.79	0.1320E-18
41.83	0.1658E-18
42.89	0.2065E-18
43.95	0.2554E-18
45.03	0.3137E-18
46.13	0.3826E-18
47.23	0.4635E-18
48.36	0.5581E-18
49.49	0.6804E-18
50.64	0.8091E-18
51.80	0.9568E-18
52.97	0.1125E-17
54.16	0.1317E-17
55.36	0.1533E-17
56.58	0.1777E-17
57.81	0.2050E-17
59.05	0.2354E-17
60.30	0.2692E-17
61.57	0.3066E-17
62.85	0.3504E-17
64.15	0.3958E-17
65.46	0.4454E-17
66.78	0.4994E-17
68.11	0.5579E-17
69.46	0.6213E-17
70.83	0.6896E-17
72.20	0.7630E-17
73.59	0.8417E-17
74.99	0.9258E-17
76.41	0.1015E-16
77.84	0.1104E-16
79.28	0.1204E-16
80.74	0.1310E-16
82.21	0.1422E-16
83.69	0.1540E-16
85.19	0.1663E-16
86.70	0.1793E-16
88.22	0.1929E-16
89.76	0.2070E-16
91.31	0.2217E-16
92.87	0.2371E-16
94.45	0.2530E-16
96.04	0.2693E-16
97.64	0.2864E-16
99.26	0.3040E-16
100.9	0.3222E-16
102.5	0.3409E-16
104.2	0.3602E-16
105.9	0.3800E-16
107.6	0.4004E-16
109.2	0.4212E-16
111.0	0.4426E-16
112.7	0.4644E-16
114.4	0.4868E-16
116.2	0.5096E-16
117.9	0.5329E-16
119.7	0.5570E-16
121.5	0.5811E-16
123.3	0.6057E-16
125.1	0.6308E-16
127.0	0.6562E-16
128.8	0.6820E-16
130.7	0.7083E-16
132.5	0.7349E-16
134.4	0.7619E-16
136.3	0.7892E-16
138.2	0.8169E-16
140.2	0.8450E-16
142.1	0.8733E-16
144.1	0.9021E-16
146.0	0.9305E-16
148.0	0.9599E-16
150.0	0.9895E-16
 
 
C14   N2    Excitation    7.35 eV                               
E/N (Td)	Rate coefficient (m3/s)
1.000	0.000
1.007	0.000
1.027	0.000
1.060	0.000
1.107	0.000
1.168	0.000
1.242	0.000
1.329	0.000
1.430	0.000
1.544	0.000
1.671	0.000
1.812	0.000
1.966	0.000
2.134	0.000
2.315	0.000
2.510	0.000
2.718	0.000
2.940	0.000
3.174	0.000
3.423	0.000
3.685	0.000
3.960	0.000
4.248	0.000
4.550	0.000
4.866	0.000
5.195	0.000
5.537	0.000
5.893	0.000
6.262	0.000
6.644	0.000
7.040	0.000
7.450	0.000
7.872	0.000
8.309	0.000
8.758	0.000
9.221	0.000
9.698	0.000
10.19	0.000
10.69	0.000
11.21	0.000
11.74	0.000
12.28	0.000
12.84	0.000
13.41	0.000
13.99	0.2731E-26
14.59	0.5634E-25
15.20	0.1507E-24
15.83	0.3816E-24
16.46	0.1015E-23
17.11	0.2304E-23
17.78	0.5013E-23
18.46	0.1048E-22
19.15	0.2110E-22
19.85	0.4299E-22
20.57	0.8053E-22
21.30	0.1464E-21
22.05	0.2586E-21
22.81	0.4449E-21
23.58	0.7465E-21
24.36	0.1253E-20
25.16	0.2004E-20
25.97	0.3140E-20
26.80	0.4826E-20
27.64	0.7284E-20
28.49	0.1081E-19
29.36	0.1577E-19
30.23	0.2267E-19
31.13	0.3284E-19
32.03	0.4582E-19
32.95	0.6310E-19
33.89	0.8585E-19
34.83	0.1154E-18
35.79	0.1535E-18
36.77	0.2020E-18
37.75	0.2632E-18
38.75	0.3397E-18
39.77	0.4365E-18
40.79	0.5530E-18
41.83	0.6950E-18
42.89	0.8665E-18
43.95	0.1072E-17
45.03	0.1317E-17
46.13	0.1607E-17
47.23	0.1948E-17
48.36	0.2347E-17
49.49	0.2861E-17
50.64	0.3403E-17
51.80	0.4024E-17
52.97	0.4733E-17
54.16	0.5538E-17
55.36	0.6447E-17
56.58	0.7470E-17
57.81	0.8614E-17
59.05	0.9889E-17
60.30	0.1130E-16
61.57	0.1287E-16
62.85	0.1470E-16
64.15	0.1659E-16
65.46	0.1866E-16
66.78	0.2091E-16
68.11	0.2334E-16
69.46	0.2597E-16
70.83	0.2880E-16
72.20	0.3184E-16
73.59	0.3509E-16
74.99	0.3856E-16
76.41	0.4224E-16
77.84	0.4586E-16
79.28	0.4997E-16
80.74	0.5432E-16
82.21	0.5888E-16
83.69	0.6368E-16
85.19	0.6871E-16
86.70	0.7396E-16
88.22	0.7944E-16
89.76	0.8515E-16
91.31	0.9108E-16
92.87	0.9722E-16
94.45	0.1036E-15
96.04	0.1101E-15
97.64	0.1169E-15
99.26	0.1239E-15
100.9	0.1311E-15
102.5	0.1384E-15
104.2	0.1460E-15
105.9	0.1538E-15
107.6	0.1617E-15
109.2	0.1698E-15
111.0	0.1781E-15
112.7	0.1865E-15
114.4	0.1951E-15
116.2	0.2039E-15
117.9	0.2128E-15
119.7	0.2219E-15
121.5	0.2311E-15
123.3	0.2404E-15
125.1	0.2498E-15
127.0	0.2593E-15
128.8	0.2689E-15
130.7	0.2787E-15
132.5	0.2885E-15
134.4	0.2985E-15
136.3	0.3085E-15
138.2	0.3186E-15
140.2	0.3288E-15
142.1	0.3391E-15
144.1	0.3494E-15
146.0	0.3596E-15
148.0	0.3701E-15
150.0	0.3807E-15
 
 
C15   N2    Excitation    7.36 eV                               
E/N (Td)	Rate coefficient (m3/s)
1.000	0.000
1.007	0.000
1.027	0.000
1.060	0.000
1.107	0.000
1.168	0.000
1.242	0.000
1.329	0.000
1.430	0.000
1.544	0.000
1.671	0.000
1.812	0.000
1.966	0.000
2.134	0.000
2.315	0.000
2.510	0.000
2.718	0.000
2.940	0.000
3.174	0.000
3.423	0.000
3.685	0.000
3.960	0.000
4.248	0.000
4.550	0.000
4.866	0.000
5.195	0.000
5.537	0.000
5.893	0.000
6.262	0.000
6.644	0.000
7.040	0.000
7.450	0.000
7.872	0.000
8.309	0.000
8.758	0.000
9.221	0.000
9.698	0.000
10.19	0.000
10.69	0.000
11.21	0.000
11.74	0.000
12.28	0.000
12.84	0.000
13.41	0.000
13.99	0.1274E-27
14.59	0.1309E-25
15.20	0.3596E-25
15.83	0.9334E-25
16.46	0.2725E-24
17.11	0.6363E-24
17.78	0.1421E-23
18.46	0.3046E-23
19.15	0.6279E-23
19.85	0.1311E-22
20.57	0.2510E-22
21.30	0.4659E-22
22.05	0.8398E-22
22.81	0.1473E-21
23.58	0.2517E-21
24.36	0.4299E-21
25.16	0.6994E-21
25.97	0.1114E-20
26.80	0.1739E-20
27.64	0.2665E-20
28.49	0.4011E-20
29.36	0.5938E-20
30.23	0.8651E-20
31.13	0.1270E-19
32.03	0.1794E-19
32.95	0.2501E-19
33.89	0.3443E-19
34.83	0.4683E-19
35.79	0.6297E-19
36.77	0.8377E-19
37.75	0.1103E-18
38.75	0.1438E-18
39.77	0.1866E-18
40.79	0.2388E-18
41.83	0.3029E-18
42.89	0.3812E-18
43.95	0.4760E-18
45.03	0.5900E-18
46.13	0.7261E-18
47.23	0.8876E-18
48.36	0.1078E-17
49.49	0.1325E-17
50.64	0.1589E-17
51.80	0.1894E-17
52.97	0.2244E-17
54.16	0.2646E-17
55.36	0.3104E-17
56.58	0.3623E-17
57.81	0.4209E-17
59.05	0.4867E-17
60.30	0.5603E-17
61.57	0.6422E-17
62.85	0.7388E-17
64.15	0.8397E-17
65.46	0.9508E-17
66.78	0.1073E-16
68.11	0.1206E-16
69.46	0.1350E-16
70.83	0.1507E-16
72.20	0.1677E-16
73.59	0.1861E-16
74.99	0.2058E-16
76.41	0.2269E-16
77.84	0.2479E-16
79.28	0.2718E-16
80.74	0.2973E-16
82.21	0.3243E-16
83.69	0.3530E-16
85.19	0.3832E-16
86.70	0.4151E-16
88.22	0.4486E-16
89.76	0.4838E-16
91.31	0.5206E-16
92.87	0.5592E-16
94.45	0.5994E-16
96.04	0.6410E-16
97.64	0.6846E-16
99.26	0.7300E-16
100.9	0.7770E-16
102.5	0.8257E-16
104.2	0.8760E-16
105.9	0.9281E-16
107.6	0.9818E-16
109.2	0.1037E-15
111.0	0.1094E-15
112.7	0.1153E-15
114.4	0.1213E-15
116.2	0.1275E-15
117.9	0.1338E-15
119.7	0.1404E-15
121.5	0.1470E-15
123.3	0.1538E-15
125.1	0.1608E-15
127.0	0.1679E-15
128.8	0.1751E-15
130.7	0.1825E-15
132.5	0.1900E-15
134.4	0.1977E-15
136.3	0.2055E-15
138.2	0.2134E-15
140.2	0.2215E-15
142.1	0.2296E-15
144.1	0.2380E-15
146.0	0.2463E-15
148.0	0.2548E-15
150.0	0.2635E-15
 
 
C16   N2    Excitation    7.80 eV                               
E/N (Td)	Rate coefficient (m3/s)
1.000	0.000
1.007	0.000
1.027	0.000
1.060	0.000
1.107	0.000
1.168	0.000
1.242	0.000
1.329	0.000
1.430	0.000
1.544	0.000
1.671	0.000
1.812	0.000
1.966	0.000
2.134	0.000
2.315	0.000
2.510	0.000
2.718	0.000
2.940	0.000
3.174	0.000
3.423	0.000
3.685	0.000
3.960	0.000
4.248	0.000
4.550	0.000
4.866	0.000
5.195	0.000
5.537	0.000
5.893	0.000
6.262	0.000
6.644	0.000
7.040	0.000
7.450	0.000
7.872	0.000
8.309	0.000
8.758	0.000
9.221	0.000
9.698	0.000
10.19	0.000
10.69	0.000
11.21	0.000
11.74	0.000
12.28	0.000
12.84	0.000
13.41	0.000
13.99	0.000
14.59	0.2468E-26
15.20	0.6796E-26
15.83	0.1768E-25
16.46	0.5861E-25
17.11	0.1384E-24
17.78	0.3128E-24
18.46	0.6782E-24
19.15	0.1414E-23
19.85	0.2994E-23
20.57	0.5799E-23
21.30	0.1089E-22
22.05	0.1985E-22
22.81	0.3520E-22
23.58	0.6082E-22
24.36	0.1050E-21
25.16	0.1726E-21
25.97	0.2778E-21
26.80	0.4381E-21
27.64	0.6780E-21
28.49	0.1030E-20
29.36	0.1540E-20
30.23	0.2264E-20
31.13	0.3353E-20
32.03	0.4778E-20
32.95	0.6718E-20
33.89	0.9324E-20
34.83	0.1278E-19
35.79	0.1733E-19
36.77	0.2322E-19
37.75	0.3080E-19
38.75	0.4043E-19
39.77	0.5282E-19
40.79	0.6802E-19
41.83	0.8684E-19
42.89	0.1099E-18
43.95	0.1381E-18
45.03	0.1721E-18
46.13	0.2130E-18
47.23	0.2617E-18
48.36	0.3193E-18
49.49	0.3944E-18
50.64	0.4750E-18
51.80	0.5686E-18
52.97	0.6768E-18
54.16	0.8012E-18
55.36	0.9433E-18
56.58	0.1105E-17
57.81	0.1288E-17
59.05	0.1494E-17
60.30	0.1726E-17
61.57	0.1984E-17
62.85	0.2289E-17
64.15	0.2609E-17
65.46	0.2961E-17
66.78	0.3348E-17
68.11	0.3772E-17
